"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test creating booking","1","0","Positive: creating booking with custom data","0"
"0","","0","Test getting booking","1","0","Positive: filter by booking dates, range is correct","0"
"0","","0","Test patching booking","1","0","Negative: patching non-existent booking","0"
"0","","0","Test Ping","1","0","Test wrong HTTP method","0"
"0","","0","Test deleting booking","1","0","Negative: deleting booking with invalid ID","0"
"0","","0","Test getting booking","1","0","Positive: filter by booking ID","0"
"0","","0","Test patching booking","1","0","Positive: patching booking with partially invalid data","0"
"0","","0","Test getting booking","1","0","Negative: getting non-existent booking by ID","0"
"0","","0","Test patching booking","1","0","Negative: patching booking with non-existent field","0"
"0","","0","Test getting booking","1","0","Negative: filtering by incorrect date range","0"
"0","","0","Test updating booking","1","0","Negative: updating booking with non-existent field","0"
"0","","0","Test patching booking","1","0","Negative: patching booking without authorization","0"
"0","","0","Test getting booking","1","0","Negative: filtering without empty parameters","0"
"0","","0","Test creating booking","1","0","Negative: creating booking with incorrect date format","0"
"0","","0","Test creating booking","1","0","Negative: creating booking with one field","0"
"0","","0","Test updating booking","1","0","Negative: updating booking without authorization","0"
"0","","0","Test getting booking","1","0","Positive: filter by name created booking","0"
"0","","0","Test updating booking","1","0","Positive: updating booking","0"
"0","","0","Test updating booking","1","0","Negative: updating booking with invalid data","0"
"0","","0","Test Ping","1","0","Test connection with different success code","0"
"0","","0","Test creating booking","1","0","Positive: creating booking with other date format","0"
"0","","0","Test creating booking","1","0","Positive: creating booking","0"
"0","","0","Test deleting booking","1","0","Negative: deleting booking already deleted","0"
"0","","0","Test Ping","1","0","Test server error","0"
"0","","0","Test getting booking","1","0","Negative: getting booking with invalid ID format","0"
"0","","0","Test getting booking","1","0","Positive: getting booking from list of bookings","0"
"0","","0","Test Ping","1","0","Test server unavailability","0"
"0","","0","Test patching booking","1","0","Positive: patching booking","0"
"0","","0","Test Ping","1","0","Test wrong URL","0"
"0","","0","Test Ping","1","0","Test delayed response","0"
"0","","0","Test deleting booking","1","0","Negative: deleting non-existent booking","0"
"0","","1","Test getting booking","0","0","Negative: filtering with bookingdates in created booking","0"
"0","","0","Test Ping","1","0","Test timeout","0"
"0","","0","Test updating booking","1","0","Negative: updating non-existent booking","0"
"0","","0","Test Ping","1","0","Test connection","0"
"0","","0","Test deleting booking","1","0","Negative: deleting booking without authorization","0"
"0","","0","Test creating booking","1","0","Negative: creating booking with invalid data types","0"
"0","","0","Test deleting booking","1","0","Positive: deleting booking","0"
"0","","0","Test getting booking","1","0","Negative: filter by nonexistent name","0"
