"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","test_create_booking_with_custom_data","tests","Tue Aug 20 14:07:18 MSK 2024","passed","Tue Aug 20 14:07:18 MSK 2024","","test_creating_booking","",""
"","358","test_filter_by_checkin_checkout_created_booking","tests","Tue Aug 20 14:07:24 MSK 2024","passed","Tue Aug 20 14:07:24 MSK 2024","","test_getting_booking","",""
"","364","test_patch_non_existent_booking","tests","Tue Aug 20 14:07:30 MSK 2024","passed","Tue Aug 20 14:07:30 MSK 2024","","test_patching_booking","",""
"","2","test_ping_wrong_method","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","193","test_delete_booking_with_invalid_id","tests","Tue Aug 20 14:07:21 MSK 2024","passed","Tue Aug 20 14:07:22 MSK 2024","","test_deleting_booking","",""
"","364","test_get_booking_by_id","tests","Tue Aug 20 14:07:24 MSK 2024","passed","Tue Aug 20 14:07:25 MSK 2024","","test_getting_booking","",""
"","721","test_patch_booking_with_partially_invalid_data","tests","Tue Aug 20 14:07:28 MSK 2024","passed","Tue Aug 20 14:07:28 MSK 2024","","test_patching_booking","",""
"","176","test_get_nonexistent_booking_by_id","tests","Tue Aug 20 14:07:25 MSK 2024","passed","Tue Aug 20 14:07:25 MSK 2024","","test_getting_booking","",""
"","557","test_patch_booking_with_non_existent_field","tests","Tue Aug 20 14:07:30 MSK 2024","passed","Tue Aug 20 14:07:31 MSK 2024","","test_patching_booking","",""
"","180","test_filter_by_incorrect_date_range","tests","Tue Aug 20 14:07:25 MSK 2024","passed","Tue Aug 20 14:07:25 MSK 2024","","test_getting_booking","",""
"","566","test_update_booking_with_non_existent_field","tests","Tue Aug 20 14:07:33 MSK 2024","passed","Tue Aug 20 14:07:34 MSK 2024","","test_updating_booking","",""
"","1146","test_patch_booking_without_authorization","tests","Tue Aug 20 14:07:29 MSK 2024","passed","Tue Aug 20 14:07:30 MSK 2024","","test_patching_booking","",""
"","178","test_filter_without_empty_parameters","tests","Tue Aug 20 14:07:25 MSK 2024","passed","Tue Aug 20 14:07:26 MSK 2024","","test_getting_booking","",""
"","329","test_create_booking_with_different_data_format","tests","Tue Aug 20 14:07:19 MSK 2024","passed","Tue Aug 20 14:07:19 MSK 2024","","test_creating_booking","",""
"","182","test_create_booking_missing_required_fields","tests","Tue Aug 20 14:07:18 MSK 2024","passed","Tue Aug 20 14:07:18 MSK 2024","","test_creating_booking","",""
"","906","test_update_booking_without_authorization","tests","Tue Aug 20 14:07:32 MSK 2024","passed","Tue Aug 20 14:07:33 MSK 2024","","test_updating_booking","",""
"","370","test_filter_by_name_created_booking","tests","Tue Aug 20 14:07:23 MSK 2024","passed","Tue Aug 20 14:07:23 MSK 2024","","test_getting_booking","",""
"","760","test_update_booking","tests","Tue Aug 20 14:07:31 MSK 2024","passed","Tue Aug 20 14:07:32 MSK 2024","","test_updating_booking","",""
"","542","test_update_booking_with_invalid_data","tests","Tue Aug 20 14:07:34 MSK 2024","passed","Tue Aug 20 14:07:34 MSK 2024","","test_updating_booking","",""
"","7","test_ping_success_different_code","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","199","test_create_booking_invalid_date_format","tests","Tue Aug 20 14:07:18 MSK 2024","passed","Tue Aug 20 14:07:19 MSK 2024","","test_creating_booking","",""
"","229","test_create_booking_positive","tests","Tue Aug 20 14:07:17 MSK 2024","passed","Tue Aug 20 14:07:17 MSK 2024","","test_creating_booking","",""
"","582","test_delete_booking_already_deleted","tests","Tue Aug 20 14:07:22 MSK 2024","passed","Tue Aug 20 14:07:22 MSK 2024","","test_deleting_booking","",""
"","1","test_ping_internal_server_error","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","181","test_get_booking_with_invalid_id_format","tests","Tue Aug 20 14:07:25 MSK 2024","passed","Tue Aug 20 14:07:25 MSK 2024","","test_getting_booking","",""
"","749","test_filter_by_created_booking","tests","Tue Aug 20 14:07:22 MSK 2024","passed","Tue Aug 20 14:07:23 MSK 2024","","test_getting_booking","",""
"","4","test_ping_server_unavailable","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","729","test_update_part_of_booking","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_patching_booking","",""
"","2","test_ping_not_found","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","1","test_ping_delayed_response","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","187","test_delete_non_existent_booking","tests","Tue Aug 20 14:07:20 MSK 2024","passed","Tue Aug 20 14:07:20 MSK 2024","","test_deleting_booking","",""
"","356","test_filter_by_checkin_checkout_of_created_booking","tests","Tue Aug 20 14:07:26 MSK 2024","failed","Tue Aug 20 14:07:26 MSK 2024","","test_getting_booking","",""
"","2","test_ping_timeout","tests","Tue Aug 20 14:07:27 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","360","test_update_non_existent_booking","tests","Tue Aug 20 14:07:35 MSK 2024","passed","Tue Aug 20 14:07:35 MSK 2024","","test_updating_booking","",""
"","176","test_ping","tests","Tue Aug 20 14:07:26 MSK 2024","passed","Tue Aug 20 14:07:27 MSK 2024","","test_health_check","",""
"","958","test_delete_booking_without_authorization","tests","Tue Aug 20 14:07:20 MSK 2024","passed","Tue Aug 20 14:07:21 MSK 2024","","test_deleting_booking","",""
"","181","test_create_booking_invalid_data_types","tests","Tue Aug 20 14:07:19 MSK 2024","passed","Tue Aug 20 14:07:19 MSK 2024","","test_creating_booking","",""
"","545","test_delete_booking","tests","Tue Aug 20 14:07:19 MSK 2024","passed","Tue Aug 20 14:07:20 MSK 2024","","test_deleting_booking","",""
"","181","test_filter_by_nonexistent_name","tests","Tue Aug 20 14:07:25 MSK 2024","passed","Tue Aug 20 14:07:25 MSK 2024","","test_getting_booking","",""
